season,episode,title,location,has_coords,found,match_method,match_score,video_title,video_url
12,3,The Bombers in the Marsh,"Warton, Lancashire",True,True,season/episode,1.0,"The Bombers in the Marsh (Full Episode) | S12 EP3 | Time Team (Warton, Lancashire)",https://www.youtube.com/watch?v=wx6n3hJJxBM
12,4,Fighting on the Frontier,"Drumlanrig, Dumfries and Galloway",True,True,season/episode,1.0,"Fighting On The Frontier (Full Episode) | S12 EP4 | Time Team (Drumlanrig, Dumfries)",https://www.youtube.com/watch?v=0zZHAitHQWQ
12,5,A Neolithic Cathedral?,"Northborough, Cambridgeshire",True,True,season/episode,1.0,"A Neolithic Cathedral? (Full Episode) | S12 EP5 | Time Team (Northborough, Peterborough)",https://www.youtube.com/watch?v=PTDlKhS9I3c
12,6,"In Search of Henry V's Flagship, Grace Dieu","Bursledon, Hampshire",True,True,season/episode,0.672,"In Search Of Henry V’s Flagship (Full Episode) | S12 EP6 | Time Team (Grace Dieu, Hampshire)",https://www.youtube.com/watch?v=XHZGN5L2zRA
12,7,Going Upmarket with the Romans,"Standish, Gloucestershire",True,True,season/episode,1.0,"Going Upmarket With The Romans (Full Episode) | S12 EP7 | Time Team (Standish, Gloucestershire)",https://www.youtube.com/watch?v=TpVKVwgBsAE
12,8,Picts and Hermits: Cave Dwellers of Fife,"Wemyss, Fife",True,True,season/episode,0.566,"Picts And Hermits (Full Episode) | S12 EP8 | Time Team (Wemyss, Fife)",https://www.youtube.com/watch?v=1SH8gmE9JDM
12,9,Lost Centuries of St Osyth,"St Osyth, Essex",True,True,season/episode,1.0,"Lost Centuries of St Osyth (Full Episode) | S12 EP9 | Time Team (St Osyth, Essex)",https://www.youtube.com/watch?v=wCOFSRhFcAM
12,10,The Puzzle of Picket's Farm,"South Perrott, Dorset",True,True,season/episode,1.0,"The Puzzle of Picket's Farm (Full Episode) | S12 EP10 | Time Team (South Perrott, Dorset)",https://www.youtube.com/watch?v=H69XbqOl-lA
12,11,Norman Neighbours,"Skipsea, East Riding of Yorkshire",True,True,season/episode,1.0,"Norman Neighbours (Full Episode) | S12 EP11 | Time Team (Skipsea, Yorkshire)",https://www.youtube.com/watch?v=hxrMW0l8Hxw
12,12,Hunting the Romans in South Shields - Tower Blocks and Togas,"South Shields, Tyne and Wear",True,True,season/episode,0.349,Tower Blocks and Togas (Full Episode) | S12 EP12 | Time Team (South Shields),https://www.youtube.com/watch?v=Gy9AqzZQR68
12,13,Animal Farm,"Hanslope, Buckinghamshire",True,True,season/episode,1.0,"Animal Farm (Full Episode) | S12 EP13 | Time Team (Hanslope, Buckinghamshire)",https://www.youtube.com/watch?v=fMu3TjJ9Wzg
13,1,The Bodies in the Shed - Glendon's Lost Graveyard,"Glendon, Northamptonshire",True,True,season/episode,0.5,Bodies In The Shed (Full Episode) | S13 EP1 | Time Team (Glendon),https://www.youtube.com/watch?v=oEs_us18fZU
13,2,Villas out of Molehills,"Withington, Gloucestershire",True,True,season/episode,1.0,"Villas Out Of Molehills (Full Episode) | S13 EP2 | Time Team (Withington,Gloucestershire)",https://www.youtube.com/watch?v=g_8pd9lojng
13,3,Rubble at the Mill,"Manchester, Greater Manchester",True,True,season/episode,1.0,Rubble At The Mill (Full Episode) | S13 EP3 | Time Team (Manchester),https://www.youtube.com/watch?v=P95goNAvJN4
13,4,The First Tudor Palace?,"Esher, Surrey",True,True,season/episode,1.0,"The First Tudor Palace (Full Episode) | S13 EP4 | Time Team (Esher, Surrey)",https://www.youtube.com/watch?v=7dotgaD4CEI
13,5,The Boat on the Rhine - A Roman Boat in Utrecht,"Utrecht, Netherlands",True,True,season/episode,0.547,"The Boat On The Rhine (Full Episode) | S13 EP5 | Time Team (Utrecht, Netherlands)",https://www.youtube.com/watch?v=6fIlOW0TFBk
13,6,Court of the Kentish King,"Eastry, Kent",True,True,season/episode,1.0,"Court Of The Kentish King (Full Episode) | S13 EP6 | Time Team (Eastry, Kent)",https://www.youtube.com/watch?v=eboOPS1Isno
13,7,The Monks' Manor,"Brimham, Harrogate, North Yorkshire",True,True,season/episode,0.375,"The Monk’s Manor (Full Episode) | S13 EP7 | Time Team (Brigham, Yorkshire)",https://www.youtube.com/watch?v=BVXNXtIkFls
13,8,Castle in the Round,"Queenborough, Kent",True,True,season/episode,1.0,"Castle in the Round (Full Episode) | S13 EP8 | Time Team (Queenborough, Kent)",https://www.youtube.com/watch?v=MKwo8JCJ6qg
