video_url,title,location,lat,lng,season,episode
https://www.youtube.com/watch?v=pl1qVxUubIk,"The Trouble With Temples (Full Episode) | S16 EP1 | Time Team (Friar’s Wash, Hertfordshire)","Friar’s Wash, Hertfordshire",,,16,1
https://www.youtube.com/watch?v=CbbPTfUE6rY,"Rescuing the Dead (Full Episode) | S10 EP10 | Time Team (Leven, Fife)","Leven, Fife",,,10,10
https://www.youtube.com/watch?v=jOkeiwPRKUE,"Dig By Wire (Full Episode) | S19 EP1 | Time Team (Gateholm Island, Pembrokeshire)","Gateholm Island, Pembrokeshire",,,19,1
https://www.youtube.com/watch?v=6oAL4lqqeh0,"Scotch Broch (Full Episode) | S13 EP13 | Time Team (Applecross, Scottish Highlands)","Applecross, Scottish Highlands",,,13,13
https://www.youtube.com/watch?v=GoH0q0EBDQQ,"Iron-Age Market (Full Episode) | S9 EP7 | Time Team (Helford, Cornwall)","Helford, Cornwall",,,9,7
https://www.youtube.com/watch?v=_2ieDurqaVs,Blitzkrieg on Shooter's Hill (Full Episode) | S15 EP6 | Time Team (South London),South London,,,15,6
https://www.youtube.com/watch?v=PNDKzoL3wFY,"The Taxman's Tavern (Full Episode) | S13 EP12 | Time Team (Horsham, West Sussex)","Horsham, West Sussex",,,13,12
https://www.youtube.com/watch?v=fMu3TjJ9Wzg,"Animal Farm (Full Episode) | S12 EP13 | Time Team (Hanslope, Buckinghamshire)","Hanslope, Buckinghamshire",,,12,13
https://www.youtube.com/watch?v=9148ynNBbMg,"Early Bath (Full Episode) | S13 EP11 | Time Team (Ffrith, Flintshire)","Ffrith, Flintshire",,,13,11
https://www.youtube.com/watch?v=vq4TYvviZa4,"Birthplace of the Confessor (Full Episode) | S13 EP10 | Time Team (Islip, Oxfordshire)","Islip, Oxfordshire",,,13,10
https://www.youtube.com/watch?v=-ATi5An380E,"Peak District Practices (Full Episode) | S10 EP3 | Time Team (Carsington, Derbyshire)","Carsington, Derbyshire",,,10,3
https://www.youtube.com/watch?v=09fHCmldIAc,"Skeletons In The Shed (Full Episode) | S16 EP13 | Time Team (Blythburgh, Suffolk)","Blythburgh, Suffolk",,,16,13
https://www.youtube.com/watch?v=p7oZShw7ep8,"Sussex Ups and Downs (Full Episode) | S13 EP9 | Time Team (Blackpatch, West Sussex)","Blackpatch, West Sussex",,,13,9
https://www.youtube.com/watch?v=Qi1ijJGJ9L8,"Seven Buckets and a Buckle (Full Episode) | S9 EP13 | Time Team (Breamore, Hampshire)","Breamore, Hampshire",,,9,13
https://www.youtube.com/watch?v=AbxFy4BqJ_s,"The Hollow Way (Full Episode) | S16 EP12 | Time Team (Ulnaby, County Durham)","Ulnaby, County Durham",,,16,12
https://www.youtube.com/watch?v=MKwo8JCJ6qg,"Castle in the Round (Full Episode) | S13 EP8 | Time Team (Queenborough, Kent)","Queenborough, Kent",,,13,8
https://www.youtube.com/watch?v=Gy9AqzZQR68,Tower Blocks and Togas (Full Episode) | S12 EP12 | Time Team (South Shields),South Shields,,,12,12
https://www.youtube.com/watch?v=nW5KGQ778JM,"Beacon On The Fens (Full Episode) | S16 EP11 | Time Team (Chapel Head, Cambridgeshire)","Chapel Head, Cambridgeshire",,,16,11
https://www.youtube.com/watch?v=hxrMW0l8Hxw,"Norman Neighbours (Full Episode) | S12 EP11 | Time Team (Skipsea, Yorkshire)","Skipsea, Yorkshire",,,12,11
https://www.youtube.com/watch?v=p0SVGPGxLJI,"High Worsall (Full Episode) | S5 EP8 | Time Team (High Worsall, North Yorkshire)","High Worsall, North Yorkshire",,,5,8
https://www.youtube.com/watch?v=zTzf3WpjXVc,"Called To The Bar (Full Episode) | S16 EP10 | Time Team (Lincoln’s Inn, London)","Lincoln’s Inn, London",,,16,10
https://www.youtube.com/watch?v=H69XbqOl-lA,"The Puzzle of Picket's Farm (Full Episode) | S12 EP10 | Time Team (South Perrott, Dorset)","South Perrott, Dorset",,,12,10
https://www.youtube.com/watch?v=4NFiKwXTMdU,"Sanday, Orkney (Full Episode) | S5 EP3 | Time Team",,,,5,3
https://www.youtube.com/watch?v=VfQUneC-occ,"Hermit Harbour (Full Episode) | S16 EP9 | Time Team (Looe, Cornwall)","Looe, Cornwall",,,16,9
https://www.youtube.com/watch?v=wCOFSRhFcAM,"Lost Centuries of St Osyth (Full Episode) | S12 EP9 | Time Team (St Osyth, Essex)","St Osyth, Essex",,,12,9
https://www.youtube.com/watch?v=OI6F1qZ5zKU,In Search of the Palace of King Offa (Full Episode) | S7 EP10 | Time Team (Sutton St Nicholas),Sutton St Nicholas,,,7,10
